from_station_name,to_station_name,trip_duration_in_minutes
Admiralty,Admiralty,0
Admiralty,Aljunied,53
Admiralty,Ang Mo Kio,21
Admiralty,Bartley,41
Admiralty,Bayfront,49
Admiralty,Bayshore,68
Admiralty,Beauty World,52
Admiralty,Bedok,61
Admiralty,Bedok North,55
Admiralty,Bedok Reservoir,57
Admiralty,Bencoolen,58
Admiralty,Bendemeer,55
Admiralty,Bishan,24
Admiralty,Boon Keng,51
Admiralty,Boon Lay,45
Admiralty,Botanic Gardens,42
Admiralty,Braddell,27
Admiralty,Bras Basah,48
Admiralty,Bright Hill,28
Admiralty,Buangkok,51
Admiralty,Bugis,45
Admiralty,Bukit Batok,29
Admiralty,Bukit Gombak,27
Admiralty,Bukit Panjang,37
Admiralty,Buona Vista,46
Admiralty,Caldecott,33
Admiralty,Canberra,9
Admiralty,Cashew,45
Admiralty,Changi Airport,82
Admiralty,Chinatown,50
Admiralty,Chinese Garden,39
Admiralty,Choa Chu Kang,23
Admiralty,City Hall,40
Admiralty,Clarke Quay,48
Admiralty,Clementi,41
Admiralty,Commonwealth,48
Admiralty,Dakota,50
Admiralty,Dhoby Ghaut,38
Admiralty,Dover,43
Admiralty,Downtown,51
Admiralty,Esplanade,50
Admiralty,Eunos,56
Admiralty,Expo,68
Admiralty,Farrer Park,50
Admiralty,Farrer Road,45
Admiralty,Fort Canning,56
Admiralty,Gardens by the Bay,53
Admiralty,Geylang Bahru,53
Admiralty,Great World,43
Admiralty,Gul Circle,53
Admiralty,HarbourFront,55
Admiralty,Havelock,44
Admiralty,Haw Par Villa,56
Admiralty,Hillview,46
Admiralty,Holland Village,48
Admiralty,Hougang,49
Admiralty,Hume,47
Admiralty,Jalan Besar,58
Admiralty,Joo Koon,50
Admiralty,Jurong East,33
Admiralty,Kaki Bukit,54
Admiralty,Kallang,51
Admiralty,Katong Park,59
Admiralty,Kembangan,58
Admiralty,Kent Ridge,54
Admiralty,Khatib,14
Admiralty,King Albert Park,50
Admiralty,Kovan,47
Admiralty,Kranji,13
Admiralty,Labrador Park,61
Admiralty,Lakeside,42
Admiralty,Lavender,49
Admiralty,Lentor,23
Admiralty,Little India,42
Admiralty,Lorong Chuan,35
Admiralty,MacPherson,45
Admiralty,Marina Bay,44
Admiralty,Marina South Pier,47
Admiralty,Marine Parade,62
Admiralty,Marine Terrace,64
Admiralty,Marsiling,10
Admiralty,Marymount,35
Admiralty,Mattar,52
Admiralty,Maxwell,48
Admiralty,Mayflower,26
Admiralty,Mountbatten,52
Admiralty,Napier,40
Admiralty,Newton,33
Admiralty,Nicoll Highway,54
Admiralty,Novena,31
Admiralty,Orchard,35
Admiralty,Orchard Boulevard,42
Admiralty,Outram Park,46
Admiralty,Pasir Panjang,59
Admiralty,Pasir Ris,73
Admiralty,Paya Lebar,48
Admiralty,Pioneer,47
Admiralty,Potong Pasir,48
Admiralty,Promenade,47
Admiralty,Punggol,56
Admiralty,Punggol Coast,58
Admiralty,Queenstown,50
Admiralty,Raffles Place,42
Admiralty,Redhill,52
Admiralty,Rochor,43
Admiralty,Sembawang,6
Admiralty,Sengkang,53
Admiralty,Serangoon,37
Admiralty,Shenton Way,49
Admiralty,Siglap,66
Admiralty,Simei,68
Admiralty,Sixth Avenue,48
Admiralty,Somerset,37
Admiralty,Springleaf,20
Admiralty,Stadium,54
Admiralty,Stevens,38
Admiralty,Tai Seng,43
Admiralty,Tampines,62
Admiralty,Tampines East,64
Admiralty,Tampines West,60
Admiralty,Tan Kah Kee,46
Admiralty,Tanah Merah,63
Admiralty,Tanjong Katong,61
Admiralty,Tanjong Pagar,49
Admiralty,Tanjong Rhu,57
Admiralty,Telok Ayer,52
Admiralty,Telok Blangah,63
Admiralty,Tiong Bahru,54
Admiralty,Toa Payoh,28
Admiralty,Tuas Crescent,55
Admiralty,Tuas Link,59
Admiralty,Tuas West Road,57
Admiralty,Ubi,52
Admiralty,Upper Changi,67
Admiralty,Upper Thomson,30
Admiralty,Woodlands,6
Admiralty,Woodlands North,16
Admiralty,Woodlands South,16
Admiralty,Woodleigh,46
Admiralty,Yew Tee,21
Admiralty,Yio Chu Kang,19
Admiralty,Yishun,12
Admiralty,one-north,52
Aljunied,Admiralty,53
Aljunied,Aljunied,0
Aljunied,Ang Mo Kio,35
Aljunied,Bartley,20
Aljunied,Bayfront,21
Aljunied,Bayshore,43
Aljunied,Beauty World,34
Aljunied,Bedok,12
Aljunied,Bedok North,25
Aljunied,Bedok Reservoir,27
Aljunied,Bencoolen,29
Aljunied,Bendemeer,25
Aljunied,Bishan,28
Aljunied,Boon Keng,30
Aljunied,Boon Lay,47
Aljunied,Botanic Gardens,26
Aljunied,Braddell,30
Aljunied,Bras Basah,27
Aljunied,Bright Hill,40
Aljunied,Buangkok,37
Aljunied,Bugis,10
Aljunied,Bukit Batok,46
Aljunied,Bukit Gombak,48
Aljunied,Bukit Panjang,43
Aljunied,Buona Vista,30
Aljunied,Caldecott,34
Aljunied,Canberra,47
Aljunied,Cashew,41
Aljunied,Changi Airport,33
Aljunied,Chinatown,26
Aljunied,Chinese Garden,41
Aljunied,Choa Chu Kang,52
Aljunied,City Hall,12
Aljunied,Clarke Quay,28
Aljunied,Clementi,34
Aljunied,Commonwealth,28
Aljunied,Dakota,16
Aljunied,Dhoby Ghaut,18
Aljunied,Dover,32
Aljunied,Downtown,23
Aljunied,Esplanade,26
Aljunied,Eunos,7
Aljunied,Expo,28
Aljunied,Farrer Park,28
Aljunied,Farrer Road,37
Aljunied,Fort Canning,28
Aljunied,Gardens by the Bay,28
Aljunied,Geylang Bahru,24
Aljunied,Great World,28
Aljunied,Gul Circle,54
Aljunied,HarbourFront,28
Aljunied,Havelock,27
Aljunied,Haw Par Villa,44
Aljunied,Hillview,40
Aljunied,Holland Village,39
Aljunied,Hougang,35
Aljunied,Hume,36
Aljunied,Jalan Besar,28
Aljunied,Joo Koon,52
Aljunied,Jurong East,38
Aljunied,Kaki Bukit,24
Aljunied,Kallang,6
Aljunied,Katong Park,34
Aljunied,Kembangan,9
Aljunied,Kent Ridge,42
Aljunied,Khatib,42
Aljunied,King Albert Park,32
Aljunied,Kovan,33
Aljunied,Kranji,62
Aljunied,Labrador Park,40
Aljunied,Lakeside,43
Aljunied,Lavender,8
Aljunied,Lentor,44
Aljunied,Little India,20
Aljunied,Lorong Chuan,26
Aljunied,MacPherson,15
Aljunied,Marina Bay,20
Aljunied,Marina South Pier,22
Aljunied,Marine Parade,37
Aljunied,Marine Terrace,39
Aljunied,Marsiling,59
Aljunied,Marymount,31
Aljunied,Mattar,22
Aljunied,Maxwell,27
Aljunied,Mayflower,42
Aljunied,Mountbatten,17
Aljunied,Napier,31
Aljunied,Newton,22
Aljunied,Nicoll Highway,22
Aljunied,Novena,26
Aljunied,Orchard,21
Aljunied,Orchard Boulevard,29
Aljunied,Outram Park,19
Aljunied,Pasir Panjang,42
Aljunied,Pasir Ris,25
Aljunied,Paya Lebar,5
Aljunied,Pioneer,48
Aljunied,Potong Pasir,32
Aljunied,Promenade,19
Aljunied,Punggol,42
Aljunied,Punggol Coast,44
Aljunied,Queenstown,26
Aljunied,Raffles Place,14
Aljunied,Redhill,23
Aljunied,Rochor,19
Aljunied,Sembawang,50
Aljunied,Sengkang,39
Aljunied,Serangoon,23
Aljunied,Shenton Way,28
Aljunied,Siglap,41
Aljunied,Simei,19
Aljunied,Sixth Avenue,30
Aljunied,Somerset,20
Aljunied,Springleaf,47
Aljunied,Stadium,19
Aljunied,Stevens,25
Aljunied,Tai Seng,18
Aljunied,Tampines,22
Aljunied,Tampines East,32
Aljunied,Tampines West,30
Aljunied,Tan Kah Kee,28
Aljunied,Tanah Merah,15
Aljunied,Tanjong Katong,36
Aljunied,Tanjong Pagar,16
Aljunied,Tanjong Rhu,32
Aljunied,Telok Ayer,24
Aljunied,Telok Blangah,38
Aljunied,Tiong Bahru,21
Aljunied,Toa Payoh,28
Aljunied,Tuas Crescent,57
Aljunied,Tuas Link,61
Aljunied,Tuas West Road,59
Aljunied,Ubi,22
Aljunied,Upper Changi,35
Aljunied,Upper Thomson,37
Aljunied,Woodlands,54
Aljunied,Woodlands North,56
Aljunied,Woodlands South,52
Aljunied,Woodleigh,32
Aljunied,Yew Tee,55
Aljunied,Yio Chu Kang,37
Aljunied,Yishun,45
Aljunied,one-north,40
Ang Mo Kio,Admiralty,21
Ang Mo Kio,Aljunied,35
Ang Mo Kio,Bartley,23
Ang Mo Kio,Bayfront,31
Ang Mo Kio,Bayshore,50
Ang Mo Kio,Beauty World,34
Ang Mo Kio,Bedok,43
Ang Mo Kio,Bedok North,37
Ang Mo Kio,Bedok Reservoir,39
Ang Mo Kio,Bencoolen,39
Ang Mo Kio,Bendemeer,37
Ang Mo Kio,Bishan,6
Ang Mo Kio,Boon Keng,33
Ang Mo Kio,Boon Lay,55
Ang Mo Kio,Botanic Gardens,24
Ang Mo Kio,Braddell,9
Ang Mo Kio,Bras Basah,30
Ang Mo Kio,Bright Hill,32
Ang Mo Kio,Buangkok,33
Ang Mo Kio,Bugis,27
Ang Mo Kio,Bukit Batok,47
Ang Mo Kio,Bukit Gombak,45
Ang Mo Kio,Bukit Panjang,43
Ang Mo Kio,Buona Vista,32
Ang Mo Kio,Caldecott,20
Ang Mo Kio,Canberra,16
Ang Mo Kio,Cashew,41
Ang Mo Kio,Changi Airport,64
Ang Mo Kio,Chinatown,32
Ang Mo Kio,Chinese Garden,49
Ang Mo Kio,Choa Chu Kang,41
Ang Mo Kio,City Hall,22
Ang Mo Kio,Clarke Quay,30
Ang Mo Kio,Clementi,43
Ang Mo Kio,Commonwealth,40
Ang Mo Kio,Dakota,32
Ang Mo Kio,Dhoby Ghaut,20
Ang Mo Kio,Dover,40
Ang Mo Kio,Downtown,33
Ang Mo Kio,Esplanade,32
Ang Mo Kio,Eunos,38
Ang Mo Kio,Expo,50
Ang Mo Kio,Farrer Park,32
Ang Mo Kio,Farrer Road,27
Ang Mo Kio,Fort Canning,38
Ang Mo Kio,Gardens by the Bay,35
Ang Mo Kio,Geylang Bahru,35
Ang Mo Kio,Great World,25
Ang Mo Kio,Gul Circle,63
Ang Mo Kio,HarbourFront,37
Ang Mo Kio,Havelock,26
Ang Mo Kio,Haw Par Villa,38
Ang Mo Kio,Hillview,39
Ang Mo Kio,Holland Village,29
Ang Mo Kio,Hougang,31
Ang Mo Kio,Hume,36
Ang Mo Kio,Jalan Besar,40
Ang Mo Kio,Joo Koon,60
Ang Mo Kio,Jurong East,47
Ang Mo Kio,Kaki Bukit,36
Ang Mo Kio,Kallang,33
Ang Mo Kio,Katong Park,41
Ang Mo Kio,Kembangan,40
Ang Mo Kio,Kent Ridge,36
Ang Mo Kio,Khatib,11
Ang Mo Kio,King Albert Park,32
Ang Mo Kio,Kovan,29
Ang Mo Kio,Kranji,31
Ang Mo Kio,Labrador Park,43
Ang Mo Kio,Lakeside,52
Ang Mo Kio,Lavender,31
Ang Mo Kio,Lentor,36
Ang Mo Kio,Little India,24
Ang Mo Kio,Lorong Chuan,17
Ang Mo Kio,MacPherson,27
Ang Mo Kio,Marina Bay,26
Ang Mo Kio,Marina South Pier,29
Ang Mo Kio,Marine Parade,44
Ang Mo Kio,Marine Terrace,46
Ang Mo Kio,Marsiling,28
Ang Mo Kio,Marymount,17
Ang Mo Kio,Mattar,34
Ang Mo Kio,Maxwell,30
Ang Mo Kio,Mayflower,34
Ang Mo Kio,Mountbatten,34
Ang Mo Kio,Napier,26
Ang Mo Kio,Newton,15
Ang Mo Kio,Nicoll Highway,36
Ang Mo Kio,Novena,13
Ang Mo Kio,Orchard,17
Ang Mo Kio,Orchard Boulevard,25
Ang Mo Kio,Outram Park,28
Ang Mo Kio,Pasir Panjang,41
Ang Mo Kio,Pasir Ris,55
Ang Mo Kio,Paya Lebar,30
Ang Mo Kio,Pioneer,57
Ang Mo Kio,Potong Pasir,30
Ang Mo Kio,Promenade,29
Ang Mo Kio,Punggol,38
Ang Mo Kio,Punggol Coast,40
Ang Mo Kio,Queenstown,40
Ang Mo Kio,Raffles Place,24
Ang Mo Kio,Redhill,38
Ang Mo Kio,Rochor,25
Ang Mo Kio,Sembawang,18
Ang Mo Kio,Sengkang,35
Ang Mo Kio,Serangoon,19
Ang Mo Kio,Shenton Way,31
Ang Mo Kio,Siglap,48
Ang Mo Kio,Simei,50
Ang Mo Kio,Sixth Avenue,29
Ang Mo Kio,Somerset,19
Ang Mo Kio,Springleaf,38
Ang Mo Kio,Stadium,36
Ang Mo Kio,Stevens,24
Ang Mo Kio,Tai Seng,25
Ang Mo Kio,Tampines,44
Ang Mo Kio,Tampines East,46
Ang Mo Kio,Tampines West,41
Ang Mo Kio,Tan Kah Kee,28
Ang Mo Kio,Tanah Merah,45
Ang Mo Kio,Tanjong Katong,43
Ang Mo Kio,Tanjong Pagar,31
Ang Mo Kio,Tanjong Rhu,39
Ang Mo Kio,Telok Ayer,34
Ang Mo Kio,Telok Blangah,45
Ang Mo Kio,Tiong Bahru,35
Ang Mo Kio,Toa Payoh,10
Ang Mo Kio,Tuas Crescent,65
Ang Mo Kio,Tuas Link,69
Ang Mo Kio,Tuas West Road,67
Ang Mo Kio,Ubi,34
Ang Mo Kio,Upper Changi,49
Ang Mo Kio,Upper Thomson,29
Ang Mo Kio,Woodlands,24
Ang Mo Kio,Woodlands North,34
Ang Mo Kio,Woodlands South,34
Ang Mo Kio,Woodleigh,28
Ang Mo Kio,Yew Tee,39
Ang Mo Kio,Yio Chu Kang,6
Ang Mo Kio,Yishun,13
Ang Mo Kio,one-north,34
Bartley,Admiralty,41
Bartley,Aljunied,20
Bartley,Ang Mo Kio,23
Bartley,Bartley,0
Bartley,Bayfront,30
Bartley,Bayshore,57
Bartley,Beauty World,37
Bartley,Bedok,25
Bartley,Bedok North,20
Bartley,Bedok Reservoir,22
Bartley,Bencoolen,24
Bartley,Bendemeer,20
Bartley,Bishan,13
Bartley,Boon Keng,21
Bartley,Boon Lay,54
Bartley,Botanic Gardens,23
Bartley,Braddell,22
Bartley,Bras Basah,28
Bartley,Bright Hill,30
Bartley,Buangkok,22
Bartley,Bugis,27
Bartley,Bukit Batok,53
Bartley,Bukit Gombak,55
Bartley,Bukit Panjang,46
Bartley,Buona Vista,30
Bartley,Caldecott,18
Bartley,Canberra,35
Bartley,Cashew,44
Bartley,Changi Airport,46
Bartley,Chinatown,28
Bartley,Chinese Garden,48
Bartley,Choa Chu Kang,60
Bartley,City Hall,29
Bartley,Clarke Quay,30
Bartley,Clementi,41
Bartley,Commonwealth,39
Bartley,Dakota,15
Bartley,Dhoby Ghaut,27
Bartley,Dover,39
Bartley,Downtown,31
Bartley,Esplanade,26
Bartley,Eunos,20
Bartley,Expo,33
Bartley,Farrer Park,24
Bartley,Farrer Road,26
Bartley,Fort Canning,25
Bartley,Gardens by the Bay,42
Bartley,Geylang Bahru,18
Bartley,Great World,37
Bartley,Gul Circle,61
Bartley,HarbourFront,36
Bartley,Havelock,38
Bartley,Haw Par Villa,37
Bartley,Hillview,42
Bartley,Holland Village,28
Bartley,Hougang,20
Bartley,Hume,39
Bartley,Jalan Besar,22
Bartley,Joo Koon,58
Bartley,Jurong East,46
Bartley,Kaki Bukit,18
Bartley,Kallang,23
Bartley,Katong Park,48
Bartley,Kembangan,22
Bartley,Kent Ridge,34
Bartley,Khatib,30
Bartley,King Albert Park,35
Bartley,Kovan,18
Bartley,Kranji,50
Bartley,Labrador Park,42
Bartley,Lakeside,50
Bartley,Lavender,25
Bartley,Lentor,35
Bartley,Little India,25
Bartley,Lorong Chuan,10
Bartley,MacPherson,10
Bartley,Marina Bay,33
Bartley,Marina South Pier,39
Bartley,Marine Parade,51
Bartley,Marine Terrace,53
Bartley,Marsiling,47
Bartley,Marymount,16
Bartley,Mattar,16
Bartley,Maxwell,41
Bartley,Mayflower,32
Bartley,Mountbatten,17
Bartley,Napier,31
Bartley,Newton,28
Bartley,Nicoll Highway,21
Bartley,Novena,26
Bartley,Orchard,30
Bartley,Orchard Boulevard,33
Bartley,Outram Park,33
Bartley,Pasir Panjang,39
Bartley,Pasir Ris,37
Bartley,Paya Lebar,12
Bartley,Pioneer,55
Bartley,Potong Pasir,19
Bartley,Promenade,23
Bartley,Punggol,26
Bartley,Punggol Coast,28
Bartley,Queenstown,41
Bartley,Raffles Place,31
Bartley,Redhill,40
Bartley,Rochor,31
Bartley,Sembawang,37
Bartley,Sengkang,24
Bartley,Serangoon,8
Bartley,Shenton Way,41
Bartley,Siglap,55
Bartley,Simei,32
Bartley,Sixth Avenue,33
Bartley,Somerset,32
Bartley,Springleaf,38
Bartley,Stadium,19
Bartley,Stevens,29
Bartley,Tai Seng,8
Bartley,Tampines,26
Bartley,Tampines East,28
Bartley,Tampines West,24
Bartley,Tan Kah Kee,31
Bartley,Tanah Merah,28
Bartley,Tanjong Katong,50
Bartley,Tanjong Pagar,34
Bartley,Tanjong Rhu,46
Bartley,Telok Ayer,29
Bartley,Telok Blangah,44
Bartley,Tiong Bahru,38
Bartley,Toa Payoh,23
Bartley,Tuas Crescent,64
Bartley,Tuas Link,68
Bartley,Tuas West Road,66
Bartley,Ubi,16
Bartley,Upper Changi,32
Bartley,Upper Thomson,28
Bartley,Woodlands,43
Bartley,Woodlands North,47
Bartley,Woodlands South,42
Bartley,Woodleigh,17
Bartley,Yew Tee,58
Bartley,Yio Chu Kang,25
Bartley,Yishun,32
Bartley,one-north,32
Bayfront,Admiralty,49
Bayfront,Aljunied,21
Bayfront,Ang Mo Kio,31
Bayfront,Bartley,30
Bayfront,Bayfront,0
Bayfront,Bayshore,31
Bayfront,Beauty World,24
Bayfront,Bedok,30
Bayfront,Bedok North,27
Bayfront,Bedok Reservoir,29
Bayfront,Bencoolen,12
Bayfront,Bendemeer,16
Bayfront,Bishan,28
Bayfront,Boon Keng,20
Bayfront,Boon Lay,49
Bayfront,Botanic Gardens,17
Bayfront,Braddell,25
Bayfront,Bras Basah,17
Bayfront,Bright Hill,30
Bayfront,Buangkok,34
Bayfront,Bugis,7
Bayfront,Bukit Batok,49
Bayfront,Bukit Gombak,51
Bayfront,Bukit Panjang,34
Bayfront,Buona Vista,32
Bayfront,Caldecott,24
Bayfront,Canberra,43
Bayfront,Cashew,32
Bayfront,Changi Airport,51
Bayfront,Chinatown,8
Bayfront,Chinese Garden,44
Bayfront,Choa Chu Kang,49
Bayfront,City Hall,17
Bayfront,Clarke Quay,15
Bayfront,Clementi,37
Bayfront,Commonwealth,30
Bayfront,Dakota,20
Bayfront,Dhoby Ghaut,17
Bayfront,Dover,34
Bayfront,Downtown,5
Bayfront,Esplanade,15
Bayfront,Eunos,25
Bayfront,Expo,40
Bayfront,Farrer Park,18
Bayfront,Farrer Road,27
Bayfront,Fort Canning,11
Bayfront,Gardens by the Bay,16
Bayfront,Geylang Bahru,18
Bayfront,Great World,22
Bayfront,Gul Circle,57
Bayfront,HarbourFront,18
Bayfront,Havelock,21
Bayfront,Haw Par Villa,34
Bayfront,Hillview,30
Bayfront,Holland Village,29
Bayfront,Hougang,31
Bayfront,Hume,26
Bayfront,Jalan Besar,14
Bayfront,Joo Koon,54
Bayfront,Jurong East,41
Bayfront,Kaki Bukit,25
Bayfront,Kallang,19
Bayfront,Katong Park,22
Bayfront,Kembangan,27
Bayfront,Kent Ridge,36
Bayfront,Khatib,38
Bayfront,King Albert Park,22
Bayfront,Kovan,29
Bayfront,Kranji,58
Bayfront,Labrador Park,30
Bayfront,Lakeside,46
Bayfront,Lavender,17
Bayfront,Lentor,34
Bayfront,Little India,10
Bayfront,Lorong Chuan,35
Bayfront,MacPherson,21
Bayfront,Marina Bay,8
Bayfront,Marina South Pier,17
Bayfront,Marine Parade,25
Bayfront,Marine Terrace,27
Bayfront,Marsiling,55
Bayfront,Marymount,31
Bayfront,Mattar,20
Bayfront,Maxwell,17
Bayfront,Mayflower,32
Bayfront,Mountbatten,18
Bayfront,Napier,22
Bayfront,Newton,12
Bayfront,Nicoll Highway,14
Bayfront,Novena,21
Bayfront,Orchard,22
Bayfront,Orchard Boulevard,24
Bayfront,Outram Park,15
Bayfront,Pasir Panjang,32
Bayfront,Pasir Ris,43
Bayfront,Paya Lebar,23
Bayfront,Pioneer,51
Bayfront,Potong Pasir,22
Bayfront,Promenade,6
Bayfront,Punggol,38
Bayfront,Punggol Coast,40
Bayfront,Queenstown,28
Bayfront,Raffles Place,16
Bayfront,Redhill,26
Bayfront,Rochor,9
Bayfront,Sembawang,46
Bayfront,Sengkang,36
Bayfront,Serangoon,26
Bayfront,Shenton Way,16
Bayfront,Siglap,29
Bayfront,Simei,37
Bayfront,Sixth Avenue,20
Bayfront,Somerset,22
Bayfront,Springleaf,37
Bayfront,Stadium,17
Bayfront,Stevens,15
Bayfront,Tai Seng,28
Bayfront,Tampines,33
Bayfront,Tampines East,35
Bayfront,Tampines West,31
Bayfront,Tan Kah Kee,18
Bayfront,Tanah Merah,33
Bayfront,Tanjong Katong,24
Bayfront,Tanjong Pagar,22
Bayfront,Tanjong Rhu,20
Bayfront,Telok Ayer,7
Bayfront,Telok Blangah,28
Bayfront,Tiong Bahru,24
Bayfront,Toa Payoh,24
Bayfront,Tuas Crescent,59
Bayfront,Tuas Link,64
Bayfront,Tuas West Road,62
Bayfront,Ubi,24
Bayfront,Upper Changi,39
Bayfront,Upper Thomson,27
Bayfront,Woodlands,44
Bayfront,Woodlands North,46
Bayfront,Woodlands South,42
Bayfront,Woodleigh,24
Bayfront,Yew Tee,55
Bayfront,Yio Chu Kang,33
Bayfront,Yishun,40
Bayfront,one-north,34
Bayshore,Admiralty,68
Bayshore,Aljunied,43
Bayshore,Ang Mo Kio,50
Bayshore,Bartley,57
Bayshore,Bayfront,31
Bayshore,Bayshore,0
Bayshore,Beauty World,52
Bayshore,Bedok,52
Bayshore,Bedok North,58
Bayshore,Bedok Reservoir,60
Bayshore,Bencoolen,43
Bayshore,Bendemeer,47
Bayshore,Bishan,47
Bayshore,Boon Keng,44
Bayshore,Boon Lay,60
Bayshore,Botanic Gardens,44
Bayshore,Braddell,45
Bayshore,Bras Basah,42
Bayshore,Bright Hill,47
Bayshore,Buangkok,57
Bayshore,Bugis,37
Bayshore,Bukit Batok,60
Bayshore,Bukit Gombak,62
Bayshore,Bukit Panjang,61
Bayshore,Buona Vista,43
Bayshore,Caldecott,41
Bayshore,Canberra,62
Bayshore,Cashew,59
Bayshore,Changi Airport,73
Bayshore,Chinatown,34
Bayshore,Chinese Garden,54
Bayshore,Choa Chu Kang,66
Bayshore,City Hall,31
Bayshore,Clarke Quay,36
Bayshore,Clementi,48
Bayshore,Commonwealth,41
Bayshore,Dakota,47
Bayshore,Dhoby Ghaut,33
Bayshore,Dover,45
Bayshore,Downtown,37
Bayshore,Esplanade,41
Bayshore,Eunos,48
Bayshore,Expo,68
Bayshore,Farrer Park,42
Bayshore,Farrer Road,55
Bayshore,Fort Canning,41
Bayshore,Gardens by the Bay,19
Bayshore,Geylang Bahru,49
Bayshore,Great World,29
Bayshore,Gul Circle,68
Bayshore,HarbourFront,35
Bayshore,Havelock,28
Bayshore,Haw Par Villa,51
Bayshore,Hillview,57
Bayshore,Holland Village,53
Bayshore,Hougang,55
Bayshore,Hume,54
Bayshore,Jalan Besar,45
