ba|Admiralty|[NS10]
if|Aljunied|[EW9]
vs|Ang Mo Kio|[NS16]
cl|Bakau|[SE3]
id|Bangkit|[BP9]
dg|Bartley|[CC12]
aj|Bayfront|[CE1][DT16]
dd|Beauty World|[DT5]
uo|Bedok|[EW5]
bv|Bedok North|[DT29]
gc|Bedok Reservoir|[DT30]
ji|Bencoolen|[DT21]
yg|Bendemeer|[DT23]
da|Bishan|[CC15][NS17]
na|Boon Keng|[NE9]
fk|Boon Lay|[EW27]
np|Botanic Gardens|[CC19][DT9]
xf|Braddell|[NS18]
ru|Bras Basah|[CC2]
nw|Bright Hill|[TE7]
qa|Buangkok|[NE15]
fr|Bugis|[DT14][EW12]
lt|Bukit Batok|[NS2]
lz|Bukit Gombak|[NS3]
cy|Bukit Panjang|[BP6][DT1]
ao|Buona Vista|[CC22][EW21]
ym|Caldecott|[CC17][TE9]
hw|Canberra|[NS12]
vi|Cashew|[DT2]
ie|Changi Airport|[CG2]
hq|Cheng Lim|[SW1]
oy|Chinatown|[DT19][NE4]
in|Chinese Garden|[EW25]
gz|Choa Chu Kang|[BP1][NS4]
ne|City Hall|[EW13][NS25]
ef|Clarke Quay|[NE5]
yy|Clementi|[EW23]
ew|Commonwealth|[EW20]
yc|Compassvale|[SE1]
pb|Coral Edge|[PE3]
xi|Cove|[PE1]
xz|Dakota|[CC8]
kt|Damai|[PE7]
xx|Dhoby Ghaut|[CC1][NE6][NS24]
pr|Dover|[EW22]
va|Downtown|[DT17]
lb|Esplanade|[CC3]
nb|Eunos|[EW7]
jt|Expo|[CG1][DT35]
eb|Fajar|[BP10]
al|Farmway|[SW2]
ss|Farrer Park|[NE8]
py|Farrer Road|[CC20]
uf|Fernvale|[SW5]
oz|Fort Canning|[DT20]
kj|Gardens by the Bay|[TE22]
tx|Geylang Bahru|[DT24]
zw|Great World|[TE15]
er|Gul Circle|[EW30]
fv|HarbourFront|[CC29][NE1]
gx|Havelock|[TE16]
ty|Haw Par Villa|[CC25]
yv|Hillview|[DT3]
rn|Holland Village|[CC21]
de|Hougang|[NE14]
fp|Jalan Besar|[DT22]
uc|Jelapang|[BP12]
ph|Joo Koon|[EW29]
we|Jurong East|[EW24][NS1]
kr|Kadaloor|[PE5]
mg|Kaki Bukit|[DT28]
gj|Kallang|[EW10]
hm|Kangkar|[SE4]
hr|Keat Hong|[BP3]
bn|Kembangan|[EW6]
oa|Kent Ridge|[CC24]
mi|Khatib|[NS14]
df|King Albert Park|[DT6]
gs|Kovan|[NE13]
fa|Kranji|[NS7]
xt|Kupang|[SW3]
re|Labrador Park|[CC27]
qn|Lakeside|[EW26]
ql|Lavender|[EW11]
pd|Layar|[SW6]
aw|Lentor|[TE5]
ct|Little India|[DT12][NE7]
to|Lorong Chuan|[CC14]
kz|MacPherson|[CC10][DT26]
vv|Marina Bay|[CE2][NS27][TE20]
ry|Marina South Pier|[NS28]
ex|Marsiling|[NS8]
ua|Marymount|[CC16]
sd|Mattar|[DT25]
fb|Maxwell|[TE18]
og|Mayflower|[TE6]
jk|Meridian|[PE2]
xh|Mountbatten|[CC7]
ju|Napier|[TE12]
ko|Newton|[DT11][NS21]
gv|Nibong|[PW5]
kb|Nicoll Highway|[CC5]
fz|Novena|[NS20]
xr|Oasis|[PE6]
uy|one-north|[CC23]
eo|Orchard|[NS22][TE14]
rq|Orchard Boulevard|[TE13]
om|Outram Park|[EW16][NE3][TE17]
av|Pasir Panjang|[CC26]
cw|Pasir Ris|[EW1]
gu|Paya Lebar|[CC9][EW8]
th|Pending|[BP8]
wl|Petir|[BP7]
jw|Phoenix|[BP5]
ns|Pioneer|[EW28]
hj|Potong Pasir|[NE10]
ug|Promenade|[CC4][DT15]
nz|Punggol|[NE17][PTC]
fo|Punggol Point|[PW3]
vc|Queenstown|[EW19]
tv|Raffles Place|[EW14][NS26]
zl|Ranggung|[SE5]
ip|Redhill|[EW18]
fq|Renjong|[SW8]
ab|Riviera|[PE4]
lf|Rochor|[DT13]
cd|Rumbia|[SE2]
dk|Sam Kee|[PW1]
lk|Samudera|[PW4]
xn|Segar|[BP11]
mh|Sembawang|[NS11]
jy|Sengkang|[NE16][STC]
gg|Senja|[BP13]
ub|Serangoon|[CC13][NE12]
rg|Shenton Way|[TE19]
ul|Simei|[EW3]
sf|Sixth Avenue|[DT7]
lw|Somerset|[NS23]
yz|Soo Teck|[PW7]
vj|South View|[BP2]
gy|Springleaf|[TE4]
xb|Stadium|[CC6]
vu|Stevens|[DT10][TE11]
vr|Sumang|[PW6]
cs|Tai Seng|[CC11]
us|Tampines|[DT32][EW2]
tq|Tampines East|[DT33]
hb|Tampines West|[DT31]
te|Tan Kah Kee|[DT8]
aa|Tanah Merah|[EW4]
rd|Tanjong Pagar|[EW15]
qv|Teck Whye|[BP4]
ar|Telok Ayer|[DT18]
bl|Telok Blangah|[CC28]
hh|Thanggam|[SW4]
pu|Tiong Bahru|[EW17]
sj|Toa Payoh|[NS19]
pf|Tongkang|[SW7]
ho|Tuas Crescent|[EW31]
rj|Tuas Link|[EW33]
ue|Tuas West Road|[EW32]
dj|Ubi|[DT27]
dv|Upper Changi|[DT34]
tw|Upper Thomson|[TE8]
xa|Woodlands|[NS9][TE2]
ox|Woodlands North|[TE1]
me|Woodlands South|[TE3]
cm|Woodleigh|[NE11]
yl|Yew Tee|[NS5]
he|Yio Chu Kang|[NS15]
sq|Yishun|[NS13]
