YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-08,WEEKENDS/HOLIDAY,22,TRAIN,NS28,399,202
2024-08,WEEKDAY,22,TRAIN,NS28,405,271
2024-08,WEEKENDS/HOLIDAY,0,TRAIN,DT10/TE11,50,271
2024-08,WEEKDAY,0,TRAIN,DT10/TE11,130,480
2024-08,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,9505,10674
2024-08,WEEKDAY,10,TRAIN,EW16/NE3/TE17,28049,38756
2024-08,WEEKDAY,9,TRAIN,CC14,11184,8782
2024-08,WEEKENDS/HOLIDAY,9,TRAIN,CC14,3382,1626
2024-08,WEEKDAY,14,TRAIN,EW27,33023,38084
2024-08,WEEKENDS/HOLIDAY,14,TRAIN,EW27,23244,22887
2024-08,WEEKDAY,0,TRAIN,NS27/CE2/TE20,64,255
2024-08,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2/TE20,25,97
2024-08,WEEKDAY,18,TRAIN,DT27,39737,21814
2024-08,WEEKENDS/HOLIDAY,18,TRAIN,DT27,5228,4683
2024-08,WEEKDAY,11,TRAIN,NS7,21034,16780
2024-08,WEEKENDS/HOLIDAY,11,TRAIN,NS7,11051,13650
2024-08,WEEKDAY,16,TRAIN,SW4,2502,3795
2024-08,WEEKENDS/HOLIDAY,16,TRAIN,SW4,1487,1594
2024-08,WEEKDAY,10,TRAIN,CC5,2739,5377
2024-08,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1584,2472
2024-08,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2684,2466
2024-08,WEEKDAY,13,TRAIN,CC23,15203,18440
2024-08,WEEKENDS/HOLIDAY,22,TRAIN,EW33,754,1843
2024-08,WEEKDAY,22,TRAIN,EW33,1278,2523
2024-08,WEEKENDS/HOLIDAY,14,TRAIN,CC21,6473,5380
2024-08,WEEKDAY,14,TRAIN,CC21,11164,10081
2024-08,WEEKDAY,12,TRAIN,TE16,8262,5627
2024-08,WEEKENDS/HOLIDAY,12,TRAIN,TE16,4758,3416
2024-08,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,48692,46347
2024-08,WEEKDAY,18,TRAIN,EW24/NS1,234549,165466
2024-08,WEEKDAY,7,TRAIN,NE10,30012,40882
2024-08,WEEKENDS/HOLIDAY,7,TRAIN,NE10,4191,3169
2024-08,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2330,2249
2024-08,WEEKDAY,8,TRAIN,EW22,17313,42445
2024-08,WEEKDAY,14,TRAIN,CC16,8033,6366
2024-08,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3390,3057
2024-08,WEEKENDS/HOLIDAY,10,TRAIN,EW11,10384,8892
2024-08,WEEKDAY,10,TRAIN,EW11,20889,18719
2024-08,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,1058,2114
2024-08,WEEKDAY,6,TRAIN,NS24/NE6/CC1,3652,9124
2024-08,WEEKENDS/HOLIDAY,22,TRAIN,TE15,3653,1584
2024-08,WEEKDAY,22,TRAIN,TE15,7600,3426
2024-08,WEEKDAY,0,TRAIN,EW19,125,740
2024-08,WEEKENDS/HOLIDAY,0,TRAIN,EW19,68,361
