Station,Manual Entry,Automated Log Score,Difference
Admiralty,2,3,-1
Aljunied,,7,
Ang Mo Kio,6,6,0
Bartley,,6,
Bayshore,,3,
Beauty World,5,5,0
Bedok,5,4,1
Bedok North,,4,
Bedok Reservoir,,3,
Bendemeer,,5,
Bishan,7,9,-2
Boon Keng,,7,
Boon Lay,3,2,1
Botanic Gardens,,8,
Braddell,,7,
Bras Basah,,6,
Bright Hill,,5,
Buangkok,5,4,1
Bugis,9,10,-1
Bukit Batok,3,3,0
Bukit Gombak,,3,
Bukit Panjang,3,3,0
Buona Vista,,7,
Caldecott,,8,
Canberra,3,4,-1
Cashew,3,3,0
Chinatown,8,9,-1
Chinese Garden,,4,
Choa Chu Kang,2,3,-1
Clementi,,6,
Commonwealth,,7,
Dakota,,5,
Dhoby Ghaut,9,10,-1
Dover,,6,
Eunos,,6,
Farrer Park,,7,
Farrer Road,6,6,0
Fort Canning,,6,
Geylang Bahru,,5,
Great World,,7,
HarbourFront,8,7,1
Havelock,,8,
Haw Par Villa,,4,
Hillview,4,3,1
Holland Village,,6,
Hougang,5,5,0
Hume,4,4,0
Jalan Besar,,6,
Jurong East,5,5,0
Kaki Bukit,,4,
Kallang,,7,
Kembangan,,5,
Kent Ridge,,5,
Khatib,4,5,-1
King Albert Park,5,5,0
Kovan,6,5,1
Labrador Park,,4,
Lakeside,,3,
Lavender,,8,
Lentor,4,4,0
Little India,8,9,-1
Lorong Chuan,,7,
MacPherson,,6,
Marina Bay,9,8,1
Marine Terrace,,4,
Marsiling,1,2,-1
Marymount,,7,
Mattar,,5,
Maxwell,,7,
Mayflower,4,4,0
Mountbatten,,5,
Napier,,7,
Newton,9,9,0
Nicoll Highway,,5,
Novena,7,8,-1
one-north,,5,
Orchard,8,9,-1
Orchard Boulevard,,7,
Outram Park,10,10,0
Pasir Panjang,,4,
Pasir Ris,3,1,2
Paya Lebar,7,7,0
Pioneer,2,2,0
Potong Pasir,,7,
Promenade,,8,
Punggol,4,3,1
Punggol Coast,4,2,2
Queenstown,7,7,0
Redhill,,7,
Rochor,,8,
Sembawang,3,4,-1
Sengkang,4,3,1
Serangoon,7,8,-1
Shenton Way,,7,
Simei,4,2,2
Sixth Avenue,6,6,0
Somerset,8,8,0
Springleaf,4,3,1
Stevens,,8,
Tai Seng,,6,
Tampines,4,3,1
Tampines East,3,2,1
Tampines West,3,3,0
Tan Kah Kee,,7,
Tanah Merah,,4,
Telok Blangah,,4,
Tiong Bahru,8,8,0
Toa Payoh,7,7,0
Ubi,,5,
Upper Changi,2,1,1
Upper Thomson,,6,
Woodlands,3,3,0
Woodlands North,2,2,0
Woodlands South,3,3,0
Woodleigh,,6,
Yew Tee,1,2,-1
Yio Chu Kang,5,6,-1
Yishun,4,4,0
