station_name,bus_interchange_size
Admiralty,NONE
Aljunied,NONE
Ang Mo Kio,LARGE
Bartley,NONE
Bayfront,NONE
Bayshore,NONE
Beauty World,NONE
Bedok,LARGE
Bedok North,NONE
Bedok Reservoir,NONE
Bencoolen,NONE
Bendemeer,NONE
Bishan,LARGE
Boon Keng,NONE
Boon Lay,LARGE
Botanic Gardens,NONE
Braddell,NONE
Bras Basah,NONE
Bright Hill,NONE
Buangkok,SMALL
Bugis,NONE
Bukit Batok,LARGE
Bukit Gombak,NONE
Bukit Panjang,LARGE
Buona Vista,NONE
Caldecott,NONE
Canberra,NONE
Cashew,NONE
Changi Airport,NONE
Chinatown,NONE
Chinese Garden,NONE
Choa Chu Kang,LARGE
City Hall,NONE
Clarke Quay,NONE
Clementi,LARGE
Commonwealth,NONE
Dakota,NONE
Dhoby Ghaut,NONE
Dover,NONE
Downtown,NONE
Esplanade,NONE
Eunos,SMALL
Expo,NONE
Farrer Park,NONE
Farrer Road,NONE
Fort Canning,NONE
Gardens by the Bay,NONE
Geylang Bahru,NONE
Great World,NONE
HarbourFront,LARGE
Havelock,NONE
Haw Par Villa,NONE
Hillview,NONE
Holland Village,NONE
Hougang,LARGE
Hume,NONE
Jalan Besar,NONE
Jurong East,LARGE
Kaki Bukit,NONE
Kallang,NONE
Katong Park,NONE
Kembangan,NONE
Kent Ridge,NONE
Khatib,NONE
King Albert Park,NONE
Kovan,NONE
Kranji,NONE
Labrador Park,NONE
Lakeside,NONE
Lavender,NONE
Lentor,NONE
Little India,NONE
Lorong Chuan,NONE
MacPherson,NONE
Marina Bay,NONE
Marine Parade,NONE
Marine Terrace,NONE
Marsiling,NONE
Marymount,NONE
Mattar,NONE
Maxwell,NONE
Mayflower,NONE
Mountbatten,NONE
Napier,NONE
Newton,NONE
Nicoll Highway,NONE
Novena,NONE
one-north,NONE
Orchard,NONE
Orchard Boulevard,NONE
Outram Park,NONE
Pasir Panjang,NONE
Pasir Ris,LARGE
Paya Lebar,NONE
Pioneer,NONE
Potong Pasir,NONE
Promenade,NONE
Punggol,LARGE
Punggol Coast,SMALL
Queenstown,NONE
Raffles Place,NONE
Redhill,NONE
Rochor,NONE
Sembawang,SMALL
Sengkang,LARGE
Serangoon,LARGE
Shenton Way,NONE
Siglap,NONE
Simei,NONE
Sixth Avenue,NONE
Somerset,NONE
Springleaf,NONE
Stadium,NONE
Stevens,NONE
Tai Seng,NONE
Tampines,LARGE
Tampines East,NONE
Tampines West,NONE
Tan Kah Kee,NONE
Tanah Merah,NONE
Tanjong Katong,NONE
Tanjong Pagar,NONE
Tanjong Rhu,NONE
Telok Ayer,NONE
Telok Blangah,NONE
Tiong Bahru,NONE
Toa Payoh,LARGE
Ubi,NONE
Upper Changi,NONE
Upper Thomson,NONE
Woodlands,LARGE
Woodlands North,NONE
Woodlands South,NONE
Woodleigh,SMALL
Yew Tee,NONE
Yio Chu Kang,SMALL
Yishun,LARGE
Gul Circle,NONE
Joo Koon,SMALL
Marina South Pier,NONE
Tuas Crescent,NONE
Tuas Link,NONE
Tuas West Road,NONE
